"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs","npz6.50",-28.1211,113.5564,20210513,"09:44:13","NPZ6","Fished","out6.13",32,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.45",-28.106,113.5316,20210513,"10:00:46","NPZ6","Fished","out6.8",50.8,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.46",-28.1138,113.5215,20210513,"10:12:44","NPZ6","Fished","out6.9",44.7,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24",-28.0836,113.5114,20210513,"10:31:21","NPZ6","No-take","npz6.24",49.3,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.18",-28.0837,113.5038,20210513,"11:02:11","NPZ6","No-take","npz6.18",50,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.47",-28.1185,113.4816,20210513,"11:24:51","NPZ6","Fished","out6.10",44,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.49",-28.1139,113.4764,20210513,"11:34:57","NPZ6","Fished","out6.12",49.6,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.38",-28.1187,113.4591,20210513,"11:49:00","NPZ6","Fished","out6.1",27.8,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.39",-28.1139,113.4539,20210513,"11:59:54","NPZ6","Fished","out6.2",36.3,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.40",-28.1038,113.4337,20210513,"12:14:36","NPZ6","Fished","out6.3",48.7,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.28",-28.0937,113.429,20210513,"12:27:11","NPZ6","No-take","npz6.28",47.3,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.43",-28.1064,113.4111,20210513,"12:45:00","NPZ6","Fished","out6.6",56.2,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.8",-28.0888,113.4012,20210513,"13:01:30","NPZ6","No-take","npz6.8",73.6,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.30",-28.0912,113.3989,20210513,"13:12:16","NPZ6","No-take","npz6.30",87.9,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2",-28.0862,113.3863,20210513,"13:26:50","NPZ6","No-take","npz6.2",92,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.3",-28.0914,113.3864,20210513,"13:38:45","NPZ6","No-take","npz6.3",95.2,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.32",-28.0963,113.3837,20210513,"13:52:51","NPZ6","No-take","npz6.32",116,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10",-28.0798,113.3498,20210513,"14:17:39","NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.35",-28.0417,113.2744,20210513,"15:22:35","NPZ6","No-take","npz6.35",184,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.27",-28.0688,113.2892,20210513,"15:55:35","NPZ6","No-take","npz6.27",186,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.4",-28.0769,113.2764,20210513,"15:48:54","NPZ6","No-take","npz6.4",189,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.24",-27.1612,113.2072,20210514,"09:29:23","NPZ9","No-take","npz9.24",82.1,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.48",-27.1527,113.2013,20210514,"09:43:21","NPZ9","No-take","npz9.48",84.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.46",-27.149,113.1916,20210514,"09:56:50","NPZ9","No-take","np79.46",83.8,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.19",-27.1465,113.2129,20210514,"10:15:01","NPZ9","No-take","npz9.19",87,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.50",-27.1444,113.2016,20210514,"10:29:15","NPZ9","No-take","npz9.50",91.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.47",-27.1397,113.1916,20210514,"10:43:23","NPZ9","No-take","npz9.47",83.2,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.49",-27.1297,113.1883,20210514,"10:57:37","NPZ9","No-take","npz9.49",81.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.45",-27.1341,113.1821,20210514,"11:09:30","NPZ9","No-take","npz9.45",82.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.43",-27.1363,113.1779,20210514,"11:20:59","NPZ9","No-take","npz9.43",82.7,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.5",-27.1519,113.1603,20210514,"11:38:52","NPZ9","No-take","npz9.5",85.9,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.14",-27.1561,113.1421,20210514,"11:55:54","NPZ9","No-take","npz9.14",103,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.7",-27.1463,113.136,20210514,"12:10:39","NPZ9","No-take","npz9.7",103,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.16",-27.134,113.1278,20210514,"12:27:16","NPZ9","No-take","npz9.16",102,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.8",-27.1354,113.1204,20210514,"12:41:29","NPZ9","No-take","npz9.8",108,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.26",-27.1256,113.122,20210514,"12:55:13","NPZ9","No-take","npz9.26",103,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.27",-27.1253,113.1335,20210514,"13:08:55","NPZ9","No-take","npz9.27",93.7,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.13",-27.1268,113.1497,20210514,"13:24:19","NPZ9","No-take","npz9.13",88.7,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.41",-27.1233,113.1699,20210514,"13:40:49","NPZ9","No-take","npz9.41",85.5,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.44",-27.1188,113.1729,20210514,"13:53:11","NPZ9","No-take","npz9.44",85.2,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.22",-27.1211,113.1862,20210514,"14:07:20","NPZ9","No-take","npz9.22",85.7,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.6",-27.1197,113.1905,20210514,"14:18:47","NPZ9","No-take","npz9.6",90.4,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.4",-27.1088,113.172,20210514,"14:37:37","NPZ9","No-take","npz9.4",85.1,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.9",-27.1023,113.1518,20210514,"14:55:14","NPZ9","No-take","npz9.9",87.8,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.42",-27.0979,113.15,20210514,"15:06:31","NPZ9","No-take","npz9.42",87.6,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.17",-27.101,113.1122,20210514,"15:28:45","NPZ9","No-take","npz9.17",95.4,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.25",-27.1036,113.1066,20210514,"15:44:35","NPZ9","No-take","npz9.25",103,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.1",-27.0953,113.1022,20210514,"16:00:30","NPZ9","No-take","npz9.1",102,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.23",-27.098,113.0833,20210514,"16:22:37","NPZ9","No-take","npz9.23",119,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz9.21",-27.1128,113.077,20210514,"16:40:35","NPZ9","No-take","npz9.21",127,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24",-28.0787,113.4414,20210512,"09:07","NPZ6","No-take","npz6.27",53.7,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14",-28.0937,113.4213,20210512,"08:56","NPZ6","No-take","npz6.14",42.1,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.6",-28.0837,113.4439,20210512,"09:04","NPZ6","No-take","npz6.6",55.1,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2",-28.0612,113.4339,20210512,"09:26","NPZ6","No-take","npz6.2",43.6,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.18",-28.0962,113.4438,20210512,"08:48","NPZ6","No-take","npz6.19",42.7,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22",-28.0687,113.4512,20210512,"09:16","NPZ6","No-take","npz6.23",45,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20",-28.0736,113.4593,20210512,"09:13","NPZ6","No-take","npz6.21",50.4,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26",-28.0937,113.4563,20210512,"08:43","NPZ6","No-take","npz6.29",33.7,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.27",-28.0562,113.4464,20210512,"09:21","NPZ6","No-take","npz6.30",39,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.8",-28.0688,113.3413,20210512,"11:45","NPZ6","No-take","npz6.8",154,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.15",-28.0588,113.3488,20210512,"11:41","NPZ6","No-take","npz6.15",145,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.9",-28.0386,113.3814,20210512,"11:28","NPZ6","No-take","npz6.9",77.2,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.13",-28.0611,113.3714,20210512,"11:19","NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.10",-28.0787,113.3764,20210512,"11:07","NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17",-28.0837,113.3839,20210512,"11:03","NPZ6","No-take","npz6.18",94,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.4",-28.0814,113.3988,20210512,"10:57","NPZ6","No-take","npz6.4",67.5,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21",-28.0714,113.3992,20210512,"10:54","NPZ6","No-take","npz6.22",59.3,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.5",-28.0636,113.3935,20210512,"10:50","NPZ6","No-take","npz6.5",65.8,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.12",-28.0512,113.2763,20210512,"13:48","NPZ6","No-take","npz6.12",185,"-","No","No"
"2021-05_Abrolhos_stereo-BRUVs","npz6.C01",-28.1078,113.3706,20210512,"14:39","NPZ6","Fished",NA,138,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.28",-28.1237,113.3663,20210512,"14:45","NPZ6","Fished","out6.1",149,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.C02",-28.118,113.385,20210512,"14:52","NPZ6","Fished",NA,125,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.BOSS41",-28.1137,113.3939,20210512,"14:57","NPZ6","Fished",NA,104,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.36",-28.1062,113.4089,20210512,"15:02","NPZ6","Fished","out6.9",66.5,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.7",-27.1162,113.1964,20210515,"08:37","NPZ9","No-take","npz9.7",97.2,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.29",-27.1313,113.2089,20210515,"08:27","NPZ9","No-take","npz9.29",96.7,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.12",-27.1462,113.2039,20210515,"08:19","NPZ9","No-take","npz9.12",92.2,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.5",-27.151,113.214,20210515,"08:09","NPZ9","No-take","npz9.5",87.8,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.9",-27.1288,113.1888,20210515,"08:48","NPZ9","No-take","npz9.9",82.1,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.26",-27.1437,113.2139,20210515,"08:14","NPZ9","No-take","npz9.26",90.9,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.11",-27.1238,113.1889,20210515,"08:46","NPZ9","No-take","npz9.11",85.8,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.19",-27.1539,113.1764,20210515,"08:58","NPZ9","No-take","npz9.19",87.1,"Molly","Yes","No"
"2021-05_Abrolhos_stereo-BRUVs","npz9.30",-27.1187,113.1864,20210515,"08:43","NPZ9","No-take","npz9.30",90.3,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.10",-27.1638,113.1565,20210515,"10:36","NPZ9","No-take","npz9.10",93.6,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.22",-27.1537,113.1413,20210515,"10:34","NPZ9","No-take","npz9.22",102,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.2",-27.1411,113.1465,20210515,"10:52","NPZ9","No-take","npz9.2",92.1,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.14",-27.1438,113.1364,20210515,"10:56","NPZ9","No-take","npz9.14",101,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.3",-27.1312,113.1239,20210515,"11:04","NPZ9","No-take","npz9.3",104,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.8",-27.1261,113.1189,20210515,"11:08","NPZ9","No-take","npz9.8",105,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.24",-27.1311,113.1067,20210515,"11:14","NPZ9","No-take","npz9.24",117,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.21",-27.1362,113.1014,20210515,"11:26","NPZ9","No-take","npz9.21",122,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.16",-27.1187,113.109,20210515,"13:16","NPZ9","No-take","npz9.16",108,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.27",-27.1164,113.1014,20210515,"13:21","NPZ9","No-take","npz9.27",114,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.13",-27.1113,113.1038,20210515,"13:27","NPZ9","No-take","npz9.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.17",-27.1012,113.0913,20210515,"13:37","NPZ9","No-take","npz9.17",114,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.1",-27.0962,113.0863,20210515,"13:43","NPZ9","No-take","npz9.1",116,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.28",-27.1013,113.0538,20210515,"13:57","NPZ9","No-take","npz9.28",132,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.18",-27.1236,113.0664,20210515,"14:08","NPZ9","No-take","npz9.18",132,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.25",-27.1462,113.074,20210515,"14:17","NPZ9","No-take","npz9.25",133,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz9.4",-27.1163,113.1139,20210515,"13:11","NPZ9","No-take","npz9.4",104,"Molly","Yes","No"
