"scientific","caab","class","order","family","subfamily","genus","species","global.region","marine.region","length.measure","a","b","all","bll","source","source_level","local.region","feeding.guild","iucn.ranking","fb.vulnerability","fb.countries","fb.status","fb.length_max","fb.ltypemaxm","rls.trophic.level","rls.trophic.breadth","rls.trophic.group","rls.water.column","rls.substrate.type","rls.complexity","rls.night.day","rls.gregariousness","rls.thermal.niche","rls.vulnerability","fishing.mortality","fishing.type","fishing.intensity","minlegal.nt","maxlegal.nt","bag.nt","minlegal.wa","maxlegal.wa","bag.wa","minlegal.qld","maxlegal.qld","bag.qld","minlegal.nsw","maxlegal.nsw","bag.nsw","minlegal.vic","maxlegal.vic","bag.vic","minlegal.sa","maxlegal.sa","bag.sa","minlegal.tas","maxlegal.tas","bag.tas"
"Carangoides fulvoguttatus",37337037,"Actinopterygii","Perciformes","Carangidae","Caranginae","Carangoides","fulvoguttatus","Australia","CS/N/NW/TE","FL",0.03285,2.8082,0,1,"FishBase","Species specific","Ningaloo/Pilbara/Timor/SEQ","generalist carnivore","Least Concern",64.86,"Australia/Bahrain/Bangladesh/Myanmar/Cambodia/Sri.Lanka/China/Comoros/Mayotte/Djibouti/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Israel/Japan/Jordan/Kenya/Kuwait/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Micronesia.(Federated.States.of)/Palau/Pakistan/Papua.New.Guinea/Philippines/Qatar/Réunion/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/Yemen","native",1200,"FL",4.4,2,"higher carnivore","pelagic non-site attached","Hard bottom","Low","Day",2,26.7919,65,"Y","B/C",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carcharhinus plumbeus",37018007,"Elasmobranchii","Carcharhiniformes","Carcharhinidae",NA,"Carcharhinus","plumbeus","Australia","NW/SW/TE/N/CS/Lord.Howe.Island","FL",0.0109,3.012,0,1,"FishBase","Species specific","Ningaloo/Pilbara/Southwest/Ningaloo/Pilbara/Southwest/SEQ","generalist carnivore/generalist carnivore","Vulnerable",87.51,"Albania/Algeria/Angola/Argentina/Australia/Bahamas/Bahrain/Brazil/Belize/Cameroon/Cabo.Verde/China/Colombia/Mayotte/Congo/Congo.(Democratic.Republic.of.the)/Costa.Rica/Cuba/Cyprus/Benin/Ecuador/Equatorial.Guinea/Fiji/France/Djibouti/Gabon/Gambia/Ghana/Greece/Guatemala/Honduras/Hong.Kong/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Israel/Italy/Japan/Jordan/Korea.(Republic.of)/Kuwait/Lebanon/Libya/Macao/Madagascar/Malaysia/Malta/Mauritania/Mauritius/Mexico/Monaco/Morocco/Mozambique/Oman/New.Caledonia/Nicaragua/Nigeria/Panama/Portugal/Qatar/Réunion/Sao.Tome.and.Principe/Saudi.Arabia/Senegal/Seychelles/Viet.Nam/Slovenia/Somalia/South.Africa/Spain/Syrian.Arab.Republic/Togo/Tonga/Trinidad.and.Tobago/United.Arab.Emirates/Tunisia/Turkey/Tuvalu/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Uruguay/Venezuela.(Bolivarian.Republic.of)/Yemen","native",1800,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","C",NA,NA,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaetodon assarius",37365012,"Actinopterygii","Perciformes","Chaetodontidae",NA,"Chaetodon","assarius","Australia","NW/SW","TL",0.02291,3.01,0,1,"FishBase","LWR estimates for this Genus-body shape","Ningaloo/Pilbara/Southwest/Ningaloo/Pilbara/Southwest","algae/invertebrate consumer/algae/invertebrate consumer","Least Concern",10,"Australia/Indonesia","native",160,"TL",2.7,3.25806,"benthic invertivore","Demersal","Hard bottom","High","Day",2,21.6305,10,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaetodon auriga",37365019,"Actinopterygii","Perciformes","Chaetodontidae",NA,"Chaetodon","auriga","Australia","CS/N/NW/SW/TE","FL",0.0404,2.82943,0,1,"FishBase","Species specific","Ningaloo/Pilbara/Timor/Negros/Southwest/Ningaloo/Pilbara/Timor/Negros/Southwest/SEQ","invertebrate carnivore/invertebrate carnivore","Least Concern",11.53,"American.Samoa/Australia/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Guam/Hong.Kong/India/Indonesia/Israel/Japan/Jordan/Kenya/Korea.(Republic.of)/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/New.Zealand/Niue/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Réunion/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen","native",230,"TL",3.2,5,"benthic invertivore","Demersal","Hard bottom","Medium","Day",2,24.4695,12,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaetodon lunula",37365042,"Actinopterygii","Perciformes","Chaetodontidae",NA,"Chaetodon","lunula","Australia","NW/TE","TL",0.02291,3.01,0,1,"FishBase","LWR estimates for this Genus-body shape","Ningaloo/Pilbara/Timor/Negros/SEQ","invertebrate carnivore","Least Concern",15.01,"American.Samoa/Australia/Sri.Lanka/China/Christmas.Island/Comoros/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/Kenya/Korea.(Republic.of)/Madagascar/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Niue/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Réunion/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Tanzania,.United.Republic.of/Samoa/Yemen","native",200,"TL",3.4,5,"benthic invertivore","Demersal","Hard bottom","High","Day",2,25.078,15,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaetodontoplus personifer",37365008,"Actinopterygii","Perciformes","Pomacanthidae",NA,"Chaetodontoplus","personifer","Australia","NW/SW","TL",0.0302,2.89,0,1,"FishBase","LWR estimates for this (Sub)family-body shape","Ningaloo/Pilbara/Timor/Southwest/Ningaloo/Pilbara/Timor/Southwest","invertebrate carnivore/invertebrate carnivore","Least Concern",34.97,"Australia","native",350,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheilodactylus gibbosus",37377010,"Actinopterygii","Perciformes","Cheilodactylidae",NA,"Cheilodactylus","gibbosus","Australia","NW/SW","TL",0.0123,3.02,NA,NA,"FishBase","LWR estimates for this (Sub)family-body shape","West/Southwest","algae/invertebrate consumer",NA,35.9,"Australia","endemic",600,"TL",3.4,4,"benthic invertivore","Demersal","Hard bottom","Medium","Day",1,20.3717,38.75,"Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA
"Choerodon rubescens",37384039,"Actinopterygii","Perciformes","Labridae","Bodianinae","Choerodon","rubescens","Australia","NW/SW","TL",0.0166,3.03,NA,NA,"FishBase","LWR estimates for this (Sub)family-body shape","West/Ningaloo/Pilbara/NA","invertebrate carnivore","Least Concern",64.65,"Australia","endemic",900,"TL",3.6,3.5,"benthic invertivore","Demersal","Hard bottom","Low","Day",1,21.1671,65,"Y","C/R",NA,NA,NA,NA,400,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysophrys auratus",37353001,"Actinopterygii","Perciformes","Sparidae",NA,"Chrysophrys","auratus","Australia","CS/SE/SW/NW/TE","FL",0.04467,2.793,0,1,"FishBase","Species specific","South-East/West/Southwest/SEQ/NSW/PSGLMP/NA","demersal invertivore/generalist carnivore/generalist carnivore","Least Concern",69.12,"Australia/China/Hong.Kong/Indonesia/Japan/New.Zealand/Norfolk.Island/Philippines","native",1300,"TL",3.3,4.33333,"benthic invertivore","Demersal","Hard bottom","Low","Day",2,19.7591,69,"Y","C/R",NA,NA,NA,NA,410,NA,"Y",350,NA,"Y",300,NA,"Y",280,NA,"Y",380,NA,"Y",300,NA,"Y"
"Coris auricularis",37384088,"Actinopterygii","Perciformes","Labridae","Corinae","Coris","auricularis","Australia","NW/SW","TL",0.01,3.06,0,1,"FishBase","LWR estimates for this (Sub)family-body shape","West/Southwest/Ningaloo/Pilbara/West/Southwest/Ningaloo/Pilbara",NA,"Least Concern",50.24,"Australia","endemic",400,"TL",3.4,3,"benthic invertivore","Demersal","Hard bottom","Low","Day",2,20.7917,44,"Y","B",NA,NA,NA,NA,NA,NA,"Y",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coris caudimacula",37384092,"Actinopterygii","Perciformes","Labridae","Corinae","Coris","caudimacula","Australia","NW","TL",0.01,3.06,0,1,"FishBase","LWR estimates for this (Sub)family-body shape","Ningaloo/Pilbara/Timor","invertebrate carnivore","Least Concern",28.6,"Australia/Comoros/Indonesia/Israel/Jordan/Kenya/Madagascar/Mauritius/Mozambique/Oman/Papua.New.Guinea/Réunion/Saudi.Arabia/Seychelles/Somalia/South.Africa/Egypt/Tanzania,.United.Republic.of","native",200,"TL",3.4,3,"benthic invertivore","Demersal","Hard bottom","Low","Day",1,24.4881,30,"N",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Decapterus muroadsi",37337071,"Actinopterygii","Perciformes","Carangidae","Caranginae","Decapterus","muroadsi","Australia","SW/TE/SE/Lord.Howe.Island/NW","TL",0.01094,3,0,1.075,"FishBase","Species specific","Ningaloo/Pilbara/Timor","invertebrate carnivore","Least Concern",39.89,"Australia/Colombia/Costa.Rica/Ecuador/El.Salvador/Guatemala/Honduras/Hong.Kong/Japan/Korea.(Republic.of)/Mexico/New.Caledonia/New.Zealand/Nicaragua/Panama/Philippines/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Thailand/United.States.of.America","native",500,"FL",3.4,2,"planktivore","pelagic non-site attached","Hard bottom","Low","Day",3,20.0715,39,"Y","B",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diagramma pictum labiosum",37350003,"Actinopterygii","Perciformes","Haemulidae","Plectorhinchinae","Diagramma","pictum labiosum","Australia","CS/N/NW/TE/SW/Lord.Howe.Island","FL",0.01441,2.988,0,1,"FishBase","Species specific - Diagramma pictum","Ningaloo/Pilbara/Timor/SEQ","invertebrate carnivore",NA,NA,NA,NA,NA,NA,3.6,5,"benthic invertivore","Demersal","Hard bottom","Medium","Night",1,26.1929,59,"Y","B/C",NA,NA,NA,NA,300,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echeneis naucrates",37336001,"Actinopterygii","Perciformes","Echeneidae",NA,"Echeneis","naucrates","Australia","CS/N/NW/SW/TE","FL",0.00075,3.35779,0,1,"FishBase","Species specific","Ningaloo/Pilbara/Timor/Negros/NSW","invertebrate carnivore/generalist carnivore","Least Concern",54.09,"Algeria/American.Samoa/Angola/Antigua.and.Barbuda/Argentina/Australia/Bahamas/Bahrain/Barbados/Bermuda/Brazil/Belize/Virgin.Islands.(British)/Bulgaria/Myanmar/Cambodia/Canada/Cabo.Verde/Cayman.Islands/Sri.Lanka/China/Christmas.Island/Colombia/Comoros/Mayotte/Cook.Islands/Cuba/Dominica/Dominican.Republic/French.Guiana/French.Polynesia/Djibouti/Greece/Grenada/Guadeloupe/Guam/Guinea/Guyana/Haiti/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Italy/Côte.d'Ivoire/Jamaica/Japan/Jordan/Kenya/Korea.(Republic.of)/Kuwait/Lebanon/Madagascar/Malaysia/Maldives/Malta/Martinique/Mauritania/Mauritius/Mexico/Montserrat/Mozambique/Oman/Curaçao/Aruba/New.Caledonia/New.Zealand/Nicaragua/Niue/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Papua.New.Guinea/Philippines/Guinea-Bissau/Puerto.Rico/Qatar/Réunion/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Sao.Tome.and.Principe/Saudi.Arabia/Senegal/Seychelles/Sierra.Leone/Viet.Nam/Somalia/South.Africa/Spain/Suriname/Syrian.Arab.Republic/Tonga/Trinidad.and.Tobago/United.Arab.Emirates/Turkey/Turks.and.Caicos.Islands/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Uruguay/Venezuela.(Bolivarian.Republic.of)/Samoa/Yemen","native",1100,"TL",3.4,6,"higher carnivore","pelagic non-site attached","Hard bottom","Low","Day",2,25.5516,54,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epinephelus areolatus",37311009,"Actinopterygii","Perciformes","Serranidae","Epinephelinae","Epinephelus","areolatus","Australia","CS/N/NW","TL",0.0118,2.947,0,1.02186,"FishBase","Species specific","Ningaloo/Pilbara/Timor","generalist carnivore","Least Concern",35.95,"Australia/Bahrain/Cambodia/Sri.Lanka/China/Mayotte/Cook.Islands/Fiji/Djibouti/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Israel/Japan/Jordan/Kenya/Kuwait/Malaysia/Maldives/Mozambique/Oman/New.Caledonia/Pakistan/Papua.New.Guinea/Philippines/Qatar/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/Yemen","native",470,"TL",3.6,3,"higher carnivore","Demersal","Hard bottom","Medium","Day",1,NA,36,"Y","B/C",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epinephelus morrhua",37311151,"Actinopterygii","Perciformes","Serranidae","Epinephelinae","Epinephelus","morrhua","Australia","NW/SW","FL",0.0606,2.624,0,1,"FishBase","Species specific","West/Southwest",NA,"Least Concern",42.81,"American.Samoa/Australia/Sri.Lanka/China/Christmas.Island/Comoros/Mayotte/Cook.Islands/Fiji/French.Polynesia/Djibouti/Guam/Hong.Kong/India/Indonesia/Israel/Japan/Jordan/Kenya/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Pakistan/Papua.New.Guinea/Philippines/Réunion/Saudi.Arabia/Seychelles/Viet.Nam/South.Africa/Thailand/Tonga/Tuvalu/Egypt/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa/Yemen","native",900,"TL",NA,NA,NA,"Demersal",NA,NA,NA,NA,NA,NA,"Y","C",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epinephelus rivulatus",37311022,"Actinopterygii","Perciformes","Serranidae","Epinephelinae","Epinephelus","rivulatus","Australia","CS/N/NW/SW","FL",0.01139,3.0862,0,1,"FishBase","Species specific","Ningaloo/Pilbara/Timor/NA","generalist carnivore","Least Concern",27.48,"Australia/Solomon.Islands/Sri.Lanka/China/Comoros/Mayotte/Hong.Kong/India/Indonesia/Japan/Kenya/Madagascar/Mauritius/Mozambique/Oman/New.Caledonia/New.Zealand/Norfolk.Island/Pakistan/Papua.New.Guinea/Philippines/Réunion/Viet.Nam/South.Africa/Tonga/Tanzania,.United.Republic.of/Yemen","native",450,"TL",3.6,2.89474,"higher carnivore","Demersal","Hard bottom","Medium","Day",1,24.2296,27,"Y","R",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
