"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (03).MP4","1","24.18138","Serranidae","Epinephelus","rivulatus",NA,1,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.14","L029 (03).MP4","1","22.80056","Trygonorrhinidae","Aptychotrema","vincentiana",NA,1,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.15","L043 (11).MP4","1","31.15029","Triakidae","Mustelus","ravidus",NA,1,"-28.0588","113.3488","20210512","11:41","NPZ6","No-take","npz6.15","145","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (09).MP4","1","35.10312","Apogonidae","Ostorhinchus","spp",NA,3,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (09).MP4","1","23.53073","Carangidae","Seriola","hippos",NA,1,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (10).MP4","1","58.19814","Chaetodontidae","Chaetodon","assarius",NA,3,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (09).MP4","1","19.16053","Cirrhitidae","Paracirrhites","forsteri",NA,1,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (10).MP4","1","49.68102","Dasyatidae","Taeniurops","meyeni",NA,1,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (10).MP4","1","45.36004","Labridae","Bodianus","solatus",NA,2,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (10).MP4","1","45.94145","Labridae","Bodianus","vulpinus",NA,1,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (10).MP4","1","47.38345","Labridae","Coris","auricularis",NA,2,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (10).MP4","1","57.58697","Labridae","Stethojulis","spp",NA,3,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (08).MP4","1","0.98877","Labridae",NA,"spp",NA,1,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (08).MP4","1","6.00517","Monacanthidae","Nelusetta","ayraud",NA,1,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","L031 (08).MP4","1","13.63640","Sparidae","Chrysophrys","auratus",NA,3,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","L035 (04).MP4","1","17.55059","Haemulidae","Diagramma","pictum",NA,9,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","L035 (04).MP4","1","11.00043","Tetraodontidae",NA,"spp",NA,1,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (03).MP4","1","3.05583","Labridae","Choerodon","rubescens",NA,1,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (04).MP4","1","19.28927","Labridae","Coris","auricularis",NA,164,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (05).MP4","1","40.06697","Labridae","Labroides","dimidiatus",NA,1,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (04).MP4","1","23.21875","Lethrinidae","Lethrinus","miniatus",NA,2,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (05).MP4","1","41.95497","Lethrinidae","Lethrinus","punctulatus",NA,1,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (05).MP4","1","41.95413","Lethrinidae","Lethrinus","ravus",NA,1,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (06).MP4","1","57.65955","Mullidae","Parupeneus","spilurus",NA,1,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (03).MP4","1","4.97469","Muraenidae","Gymnothorax","woodwardi",NA,1,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (04).MP4","1","18.79489","Nemipteridae","Pentapodus","nagasakiensis",NA,1,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (03).MP4","1","2.90401","Pinguipedidae","Parapercis","haackei",NA,1,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (04).MP4","1","23.09168","Scombridae","Scomberomorus","spp",NA,1,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","L033 (04).MP4","1","14.90183","Tetraodontidae","Torquigener","pallimaculatus",NA,2,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","L039 (03).MP4","1","14.54258","Carangidae","Carangoides","spp",NA,6,"-28.0736","113.4593","20210512","09:13","NPZ6","No-take","npz6.21","50.4","Molly","Yes","Yes"
