"sample","imageptpair","filenameleft","frameleft","filenameright","frameright","period","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"npz6.10","1","L027 (09).MP4","55653","R028 (09).MP4","57360","1","7.45828",68.57177,"0.85777","1.68537","1004.17382","19.75087","9.65624","7.31612","130.34922","-313.30773","-945.09915","Pinguipedidae","Parapercis","nebulosa","37390005",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","2","L027 (09).MP4","75485","R028 (09).MP4","77192","1","12.97268",367.40997,"2.43757","6.04092","1530.25354","23.98488","5.28624","12.42592","-614.73085","95.08649","-1398.12032","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","3","L027 (09).MP4","75485","R028 (09).MP4","77192","1","12.97268",303.44706,"1.42709","1.15877","1284.89741","6.70978","16.48133","39.34052","-144.56824","-40.47677","-1276.09678","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","4","L027 (09).MP4","75587","R028 (09).MP4","77294","1","13.00104",327.17062,"1.65528","3.96519","1277.90530","21.49205","2.31826","1.01973","-435.82341","-171.05216","-1189.05049","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","5","L027 (09).MP4","75765","R028 (09).MP4","77472","1","13.05054",292.07022,"1.82864","1.65612","1382.25058","16.87635","11.38934","10.46048","-356.22766","-184.73041","-1322.72189","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","6","L027 (09).MP4","76872","R028 (09).MP4","78579","1","13.35835",414.13365,"3.91798","1.17397","1872.45618","25.13741","13.37338","9.69180","-794.46180","-38.66109","-1695.11885","Carangidae","Seriola","dumerili","37337025",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","7","L027 (09).MP4","77011","R028 (09).MP4","78718","1","13.39699",446.80786,"6.74832","1.47428","2511.48532","26.80559","8.52522","5.02873","-1113.74969","-205.72881","-2241.60563","Carangidae","Seriola","dumerili","37337025",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","8","L027 (09).MP4","77029","R028 (09).MP4","78736","1","13.40200",446.26441,"2.60532","1.79645","2083.98847","3.47582","7.91683","4.87484","122.81826","29.64984","-2080.15492","Carangidae","Seriola","dumerili","37337025",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","9","L027 (09).MP4","77041","R028 (09).MP4","78748","1","13.40534",452.64395,"2.41258","0.34627","1327.79347","18.90628","25.86670","9.02164","420.64818","90.30854","-1256.15882","Carangidae","Seriola","dumerili","37337025",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","10","L027 (09).MP4","77156","R028 (09).MP4","78863","1","13.43731",459.07871,"8.10476","3.85431","2500.12803","17.73404","25.04243","1.34419","743.61172","-164.25434","-2381.32364","Carangidae","Seriola","dumerili","37337025",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
