OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.21	7	L035 (09).MP4	68324	R036 (08).MP4	70552	64.07707	1	2.49027	-738.28306	-209.01674	-1329.13769	1.84869	0.80581	3.29997	8.13368	1534.71720	30.09935	Labridae	Suezichthys	cyanolaemus	37384161	1	AD	Passing			
npz6.21	20	L035 (10).MP4	56053	R036 (09).MP4	58280	83.20451	1	21.61771	594.96679	214.98244	-1495.54647	1.80126	0.96834	4.31413	7.40469	1623.84180	22.80610	Pomacentridae	Chromis	spp		1	AD	Passing			
npz6.21	21	L035 (10).MP4	56053	R036 (09).MP4	58280	83.20451	1	21.61771	895.61949	253.65726	-1553.25161	2.48337	1.02855	4.24565	2.67493	1810.81939	30.83561	Pomacentridae	Chromis	spp		1	AD	Passing			
npz6.21	38	L035 (11).MP4	35268	R036 (10).MP4	37496	99.96487	1	38.37806	-454.84635	427.20097	-1391.42790	1.36058	1.35850	3.80629	7.52761	1524.94507	23.90473	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.22	0	L037 (01).MP4	10388	R038 (01).MP4	7417	2.88844		-1.00000	18.47795	-74.16979	-383.37082	0.19103	0.19996	0.29530	3.60748	390.91659	11.69366								sync		
npz6.22	1	L037 (03).MP4	69991	R038 (03).MP4	67020	64.54059	1	13.97007	873.74928	119.54150	-1727.68170	2.70142	0.91372	5.42389	33.53515	1939.74535	26.98668	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.22	2	L037 (04).MP4	48521	R038 (04).MP4	45550	81.11020	1	30.53968	-23.73513	76.36282	-445.40808	0.22661	0.23430	0.40727	4.79042	452.52955	9.76825	Haemulidae	Diagramma	pictum	37350003	3	AD	Passing			
npz6.22	3	L037 (05).MP4	43085	R038 (05).MP4	40114	102.13843	1	51.56791	-328.73874	855.04809	-2656.14473	2.09377	4.70395	13.84453	39.27491	2809.67636	18.62770	Carangidae	Seriola	hippos	37337007	1	AD	Passing			
npz6.22	4	L037 (05).MP4	53995	R038 (05).MP4	51024	105.17201	1	54.60149	-72.35828	233.67306	-1445.45286	0.73871	0.99038	4.17870	19.93941	1466.00572	9.19536	Lethrinidae	Lethrinus	miniatus	37351009	3	AD	Passing			
npz6.24	0	L027 (01).MP4	19517	R028 (01).MP4	18372	5.42681		-1.00000	-53.80611	97.67056	-409.85208	0.20898	0.21813	0.33458	9.65608	424.75094	15.47464								sync		
